rev_id,labels
713533348,
710764506,1
713554618,
711588802,3
709526386,2
713098731,9
712621260,
712842861,
713936284,9
713463350,
713821787,4
710197768,2
709472909,5
713345346,8
713296089,"8,9"
709427366,5
709902889,1
710350693,"1,5,8"
711954398,5
710618112,5
711148108,5
711226033,"3,5"
714404132,
712894165,8
710054160,5
714051259,2
709722468,5
712778428,
713167200,6
712703531,5
713107407,3
712018572,
709773537,9
711044084,3
710518467,8
710115870,6
710712135,
711871514,1
713194581,8
710412590,5
712734927,7
710872951,1
712686727,0
712563482,
712483221,1
711142507,5
709499981,
712025833,
712604537,5
712257770,3
710255356,
710193688,5
712448078,
713052459,3
709734183,"8,9"
711397262,3
712861961,3
713074378,
709464496,
709787789,10
710728468,"5,8"
712821489,3
709561040,8
712343424,8
712157000,
709753068,5
710717103,5
709775196,
711669668,5
710566233,1
711275671,"3,5"
712747040,
711828730,12
712113222,
711602179,3
711720840,10
710806227,
710251789,3
713065264,1
711942222,5
713812961,5
711751589,5
712428739,3
712315667,
711821177,5
710914343,5
711525463,
710633857,
714141940,1
709924000,9
711915543,5
712419765,
710560064,
713684895,
710200455,
709595575,
713750228,0
711791256,
713982223,5
711000707,9
710184483,5
712078400,6
710546554,0
713913480,"8,9"
710783012,
711745169,
709538497,5
710226605,"3,5,8"
713826476,5
710722104,0
709975622,
710888353,0
713127962,"5,9"
711630353,
713637633,6
709604905,8
713798456,0
712883152,
709820984,8
709908733,
713252209,
713478571,5
709508821,
710319066,
711902929,"5,8"
709802752,3
713229028,3
713531085,5
710054804,0
710407509,"3,7"
714002249,
710288704,5
712579652,5
710500201,
710235985,"5,8"
713629913,
712616239,5
712699974,5
712131364,3
710621522,5
710504476,5
711718213,10
711037927,
712161489,
713507077,3
712976937,3
711745945,4
711652240,5
711018324,"2,3,5"
714242194,
710991211,
711463382,3
712455965,
712534563,"5,8"
713263637,
710618722,5
712269520,
711844433,9
709532002,"8,9"
711192146,10
714402638,5
711093916,1
713934466,6
712618922,
710775831,
710015106,
711579370,5
712535550,3
709409591,5
709493623,
711274368,5
709838986,8
710590705,9
713285218,7
710932595,10
712318774,
712655624,3
712372304,"2,5"
709601132,
709612760,3
713348667,
710766102,
710207202,5
710640675,
712271822,3
709809347,
713691006,3
712322863,3
711019453,5
712573410,10
712339942,
710481824,5
712852931,
711043070,5
713167920,"5,8"
711516383,
709663031,3
709647540,5
709537098,9
714378306,
711548276,5
709407900,
711111642,5
709622113,7
712530563,10
711016031,6
710480777,5
709702893,3
712909724,9
713200016,
713343082,"5,8"
711187898,
710883270,7
710757476,"5,8"
712691214,
713108932,8
711752629,0
712241708,5
710043596,
709851783,1
713624435,
710851212,
714259191,5
712911068,5
714420864,
711869650,3
712638690,5
712809274,8
711538808,
712617489,5
712734668,5
709924229,10
713012559,3
713018326,"5,8"
709621941,"1,2,5"
713419638,
712573564,5
710368937,3
713217246,1
713080491,3
711106824,3
709593768,
710285325,5
709737719,3
713150265,1
713713742,5
710886580,5
713756095,"3,9"
713230851,1
710476895,10
714213120,8
713105312,
711109099,
711001708,"2,5,8"
711860146,5
713984282,
710278830,7
710016627,10
712778611,
709522475,3
711902701,9
710906591,
709706977,8
710437374,5
713190077,5
709985864,1
711015872,5
713142130,9
711030496,2
713309719,
709568325,"5,8"
710725172,5
711608565,1
711452954,3
712719670,"1,5"
712448148,9
709436513,8
709608847,
713063038,5
713398901,5
711720435,13
712757006,
712887325,5
713490322,3
710081044,1
713217381,1
711853437,5
714081658,
713633952,8
714117106,5
710736414,
710201726,
713456968,5
711480968,0
713157270,5
713965710,1
711500437,2
712299351,1
710495214,"7,8"
711380886,5
713301328,5
710636474,
713447724,5
710598265,5
710771247,5
710502482,
